lat,lon
-31,-42
21,-42
53,-42
-75,-41
-43,-41
8,-41
40,-41
79,-41
-53,-40
-21,-40
28,-40
60,-40
-66,-39
-34,-39
9,-39
41,-39
79,-39
-55,-38
-23,-38
18,-38
50,-38
-75,-37
-43,-37
-11,-37
27,-37
59,-37
-64,-36
-31,-36
7,-36
39,-36
-82,-35
-48,-35
-16,-35
17,-35
49,-35
-70,-34
-38,-34
-6,-34
27,-34
59,-34
-61,-33
-29,-33
4,-33
36,-33
77,-33
-54,-32
-22,-32
11,-32
43,-32
-79,-31
-46,-31
-14,-31
19,-31
51,-31
-67,-30
-35,-30
-3,-30
30,-30
62,-30
-56,-29
-24,-29
9,-29
41,-29
-78,-28
-45,-28
-13,-28
20,-28
52,-28
-66,-27
-34,-27
-2,-27
31,-27
63,-27
-57,-26
-25,-26
8,-26
40,-26
85,-26
-49,-25
-17,-25
16,-25
48,-25
-73,-24
-41,-24
-9,-24
24,-24
56,-24
-66,-23
-34,-23
-2,-23
31,-23
63,-23
-57,-22
-25,-22
8,-22
40,-22
85,-22
-51,-21
-19,-21
14,-21
46,-21
-81,-20
-49,-20
-17,-20
16,-20
48,-20
-81,-19
-48,-19
-16,-19
17,-19
49,-19
-77,-18
-45,-18
-13,-18
20,-18
52,-18
-80,-17
-47,-17
-15,-17
20,-17
54,-17
-79,-16
-46,-16
-14,-16
30,-16
62,-16
-68,-15
-36,-15
-4,-15
43,-15
77,-15
-55,-14
-23,-14
27,-14
59,-14
-73,-13
-41,-13
-9,-13
44,-13
76,-13
-55,-12
-23,-12
31,-12
63,-12
-69,-11
-37,-11
-5,-11
51,-11
83,-11
-48,-10
-16,-10
43,-10
77,-10
-56,-9
-24,-9
37,-9
79,-9
-52,-8
-20,-8
49,-8
84,-8
-47,-7
-15,-7
57,-7
-76,-6
-40,-6
-8,-6
66,-6
-67,-5
-35,-5
-3,-5
72,-5
-62,-4
-30,-4
3,-4
77,-4
-57,-3
-25,-3
45,-3
85,-3
-47,-2
-15,-2
60,-2
-77,-1
-42,-1
-10,-1
67,-1
-64,1
-32,1
1,1
76,1
-52,2
-20,2
53,2
85,2
-44,3
-12,3
62,3
-68,4
-36,4
-4,4
68,4
-62,5
-30,5
3,5
75,5
-55,6
-23,6
43,6
-82,7
-41,7
-9,7
72,7
-57,8
-25,8
41,8
-83,9
-42,9
-10,9
77,9
-50,10
-18,10
69,10
-59,11
-27,11
56,11
-66,12
-34,12
39,12
-67,13
-35,13
56,13
-61,14
-29,14
84,14
-44,15
72,15
-53,16
39,16
-58,17
35,17
-66,18
-34,18
84,18
-44,19
73,19
-54,20
58,20
-62,21
37,21
-66,22
34,22
-64,23
35,23
-59,24
60,24
-53,25
76,25
-48,26
78,26
-46,27
83,27
-42,28
-72,29
-40,29
-70,30
-38,30
-71,31
-39,31
82,31
-44,32
77,32
-47,33
72,33
-52,34
36,34
-57,35
-25,35
-67,36
-35,36
73,36
-50,37
23,37
-63,38
-31,38
75,38
-49,39
18,39
-65,40
-33,40
66,40
-55,41
-23,41
73,41
-50,42
-18,42
78,42
-45,43
-13,43
84,43
-39,44
-4,44
-62,45
-30,45
77,45
-47,46
-6,46
-66,47
-34,47
47,47
-57,48
-25,48
71,48
-55,49
-23,49
47,49
-55,50
-23,50
38,50
-64,51
-32,51
1,51
73,51
-48,52
-16,52
26,52
-78,53
-35,53
-3,53
69,53
-52,54
-20,54
13,54
-63,55
-31,55
2,55
-66,56
-34,56
-2,56
84,56
-38,57
-6,57
77,57
-43,58
-11,58
70,58
-48,59
-16,59
17,59
-55,60
-23,60
10,60
-64,61
-32,61
1,61
78,61
-45,62
-13,62
20,62
-58,63
-26,63
7,63
85,63
-39,64
-7,64
70,64
-52,65
-20,65
13,65
-68,66
-36,66
-4,66
73,66
-54,67
